"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2022","177.50","181.00","182.00","177.00","764.58K","0.00%"
"07/15/2022","177.50","183.00","183.00","177.00","1.32M","2.01%"
"07/14/2022","174.00","167.50","175.75","165.00","614.74K","-2.79%"
"07/12/2022","179.00","179.75","187.00","176.00","1.69M","0.70%"
"07/11/2022","177.75","170.00","178.00","165.00","1.39M","9.05%"
"07/08/2022","163.00","163.00","164.25","160.25","584.24K","2.84%"
"07/07/2022","158.50","158.00","168.00","155.25","685.11K","1.44%"
"07/06/2022","156.25","160.00","166.50","155.00","1.17M","-3.55%"
"07/05/2022","162.00","169.00","171.50","160.00","740.94K","-4.57%"
"07/04/2022","169.75","178.00","184.00","169.00","1.00M","-4.37%"
"07/01/2022","177.50","165.00","179.50","162.00","2.51M","3.05%"
"06/30/2022","172.25","178.00","178.00","170.50","1.41M","-2.68%"
"06/29/2022","177.00","170.00","178.50","170.00","851.47K","4.27%"
"06/28/2022","169.75","170.00","173.00","159.25","1.10M","-4.23%"
"06/27/2022","177.25","188.00","188.00","174.50","1.51M","-7.20%"
"06/24/2022","191.00","189.50","194.75","189.50","1.11M","1.73%"
"06/23/2022","187.75","182.00","188.25","178.25","2.10M","7.75%"
"06/22/2022","174.25","170.00","175.25","169.00","1.16M","2.65%"
"06/21/2022","169.75","169.50","172.00","164.00","1.24M","2.26%"
"06/20/2022","166.00","151.50","166.50","150.75","1.31M","4.08%"
"06/17/2022","159.50","173.00","173.00","158.00","2.39M","-7.80%"
"06/16/2022","173.00","173.00","179.75","172.50","525.71K","-0.29%"
"06/15/2022","173.50","180.50","181.00","170.75","1.17M","-5.71%"
"06/13/2022","184.00","190.00","190.00","180.00","604.72K","-4.17%"
"06/10/2022","192.00","199.00","200.00","190.25","515.29K","-2.78%"
"06/09/2022","197.50","200.00","204.75","193.75","764.10K","1.80%"
"06/08/2022","194.00","192.50","202.00","185.00","938.88K","3.05%"
"06/07/2022","188.25","187.00","190.00","170.00","3.02M","0.13%"
"06/06/2022","188.00","210.00","210.50","187.00","2.53M","-10.90%"
"06/03/2022","211.00","218.00","218.00","210.00","497.03K","-1.40%"
"06/02/2022","214.00","209.50","218.75","205.25","752.68K","2.39%"
"06/01/2022","209.00","216.00","218.75","208.00","979.34K","-3.46%"
"05/31/2022","216.50","222.00","222.00","212.50","1.09M","-2.04%"
"05/30/2022","221.00","226.00","228.00","221.00","698.55K","-1.34%"
"05/27/2022","224.00","223.00","231.00","223.00","823.16K","0.45%"
"05/26/2022","223.00","227.75","227.75","218.00","1.63M","-1.76%"
"05/25/2022","227.00","229.50","235.00","219.00","1.18M","-1.30%"
"05/24/2022","230.00","242.00","243.25","229.00","2.04M","-4.17%"
"05/23/2022","240.00","236.75","242.00","228.00","4.35M","5.96%"
"05/20/2022","226.50","202.00","226.50","200.25","4.17M","12.55%"
"05/19/2022","201.25","227.00","227.00","200.00","3.72M","-6.40%"
"05/18/2022","215.00","233.50","237.00","213.00","4.86M","-4.02%"
"05/17/2022","224.00","200.00","224.00","198.00","3.97M","15.46%"
"05/13/2022","194.00","185.00","198.00","182.00","4.85M","10.86%"
"05/12/2022","175.00","160.00","175.00","154.00","2.64M","10.41%"
"05/09/2022","158.50","154.00","167.00","154.00","2.28M","7.09%"
"05/06/2022","148.00","159.00","159.00","145.50","1.96M","-6.92%"
"05/05/2022","159.00","162.00","165.00","155.00","1.39M","-2.15%"
"05/04/2022","162.50","169.00","170.00","149.25","2.80M","0.31%"
"04/29/2022","162.00","185.00","189.00","159.00","6.57M","-7.95%"
"04/28/2022","176.00","155.00","187.75","127.00","9.97M","18.32%"
"04/27/2022","148.75","90.00","150.00","90.00","5.85M","52.10%"
"04/26/2022","97.80","100.00","105.00","97.80","1.76M","-18.50%"
"04/25/2022","120.00","130.00","132.00","120.00","602.64K","-19.73%"
"04/08/2022","149.50","150.00","153.75","141.00","3.17M","-1.48%"
"04/07/2022","151.75","167.00","167.00","148.00","3.38M","-7.47%"
"04/06/2022","164.00","175.00","180.00","163.00","4.04M","-5.34%"
"04/05/2022","173.25","167.00","177.25","159.25","2.01M","3.74%"
"04/04/2022","167.00","170.00","179.00","145.25","5.66M","-7.73%"
"04/01/2022","181.00","200.00","200.00","180.00","1.96M","-10.40%"
"03/31/2022","202.00","223.00","225.00","201.00","1.68M","-9.01%"
"03/30/2022","222.00","242.00","242.00","200.00","3.86M","-9.66%"
"03/29/2022","245.75","257.75","267.00","242.00","2.15M","-4.66%"
"03/28/2022","257.75","275.00","277.00","254.00","1.16M","-6.27%"
"03/25/2022","275.00","263.00","280.75","262.00","2.21M","4.56%"
"03/24/2022","263.00","260.00","265.50","253.00","1.14M","2.94%"
"03/23/2022","255.50","256.00","260.00","252.00","483.86K","-0.20%"
"03/22/2022","256.00","260.50","263.00","254.00","555.70K","-0.58%"
"03/21/2022","257.50","262.00","264.00","254.00","752.27K","0.19%"
"03/18/2022","257.00","255.50","264.00","252.00","1.25M","3.01%"
"03/16/2022","249.50","256.25","260.00","238.00","4.22M","-1.77%"
"03/15/2022","254.00","275.00","275.00","252.00","1.31M","-6.45%"
"03/14/2022","271.50","281.00","282.00","271.25","914.08K","-2.69%"
"03/11/2022","279.00","297.00","300.00","275.00","2.77M","-4.12%"
"03/10/2022","291.00","251.00","294.00","251.00","4.89M","22.53%"
"03/09/2022","237.50","258.00","264.00","235.75","2.07M","-8.21%"
"03/08/2022","258.75","290.00","291.00","249.75","2.23M","-3.63%"
"03/07/2022","268.50","280.00","290.00","267.00","1.40M","-4.02%"
"03/04/2022","279.75","269.00","285.00","258.75","1.83M","2.66%"
"03/03/2022","272.50","285.00","287.00","269.50","1.41M","-5.05%"
"03/02/2022","287.00","300.00","300.00","271.00","2.09M","-3.04%"
"02/28/2022","296.00","269.75","304.75","259.00","3.79M","12.12%"
"02/25/2022","264.00","240.00","265.00","227.00","3.79M","11.16%"
"02/24/2022","237.50","260.00","270.00","236.00","3.08M","-9.00%"
"02/23/2022","261.00","288.00","289.00","240.00","4.49M","-9.22%"
"02/22/2022","287.50","285.00","297.00","276.25","1.82M","-0.17%"
"02/21/2022","288.00","311.25","314.50","280.00","3.47M","-7.54%"
"02/18/2022","311.50","318.00","318.50","311.00","750.43K","-1.74%"
"02/17/2022","317.00","325.00","325.00","315.00","691.62K","-1.86%"
"02/15/2022","323.00","333.00","334.75","320.00","503.46K","-2.12%"
"02/14/2022","330.00","335.00","344.75","327.00","1.15M","-1.42%"
"02/11/2022","334.75","325.00","335.00","319.00","1.19M","5.35%"
"02/10/2022","317.75","310.00","324.75","305.00","1.58M","2.83%"
"02/09/2022","309.00","324.75","325.00","304.00","2.20M","-3.81%"
"02/08/2022","321.25","334.75","334.75","310.00","2.74M","-3.60%"
"02/07/2022","333.25","350.00","354.00","330.00","2.00M","-3.75%"
"02/03/2022","346.25","314.00","348.75","309.00","4.75M","12.06%"
"02/02/2022","309.00","345.00","345.00","304.00","6.99M","-10.17%"
"02/01/2022","344.00","355.00","355.00","340.50","3.29M","-3.03%"
"01/31/2022","354.75","369.75","373.00","352.00","2.21M","-3.34%"
"01/28/2022","367.00","370.00","384.00","341.00","5.11M","1.66%"
"01/27/2022","361.00","380.00","383.00","340.50","5.54M","-4.12%"
"01/26/2022","376.50","380.00","384.50","375.00","2.68M","-0.92%"
"01/25/2022","380.00","396.00","396.00","379.00","3.27M","-3.92%"
"01/24/2022","395.50","401.00","405.00","390.00","2.71M","0.00%"
"01/21/2022","395.50","385.00","397.00","380.00","1.85M","2.53%"
"01/20/2022","385.75","387.00","389.25","385.00","569.59K","-0.96%"
"01/19/2022","389.50","399.50","399.50","385.00","567.90K","-1.39%"
"01/18/2022","395.00","390.00","401.25","387.50","1.41M","2.60%"
"01/13/2022","385.00","378.00","387.00","371.75","1.61M","1.85%"
"01/12/2022","378.00","382.50","385.50","377.50","1.19M","-0.98%"
"01/11/2022","381.75","384.75","389.00","377.00","1.90M","-1.10%"
"01/10/2022","386.00","399.00","399.00","385.00","1.94M","-2.28%"
"01/07/2022","395.00","400.00","402.50","392.75","1.38M","-0.75%"
"01/06/2022","398.00","400.00","405.00","396.00","985.89K","0.51%"
"01/05/2022","396.00","390.00","405.00","390.00","2.73M","3.66%"
"01/04/2022","382.00","388.00","388.50","378.00","893.35K","-1.29%"
"01/03/2022","387.00","377.00","393.50","377.00","1.17M","3.20%"
"12/31/2021","375.00","374.75","379.25","370.00","1.63M","0.27%"
"12/30/2021","374.00","372.75","375.50","369.75","2.19M","0.27%"
"12/29/2021","373.00","374.00","379.00","372.00","780.39K","-0.13%"
"12/28/2021","373.50","375.00","378.00","370.75","1.00M","-0.40%"
"12/27/2021","375.00","385.00","387.50","374.50","1.06M","-2.41%"
"12/24/2021","384.25","389.75","389.75","383.50","553.65K","-0.13%"
"12/23/2021","384.75","378.00","390.00","376.00","1.58M","2.06%"
"12/22/2021","377.00","381.00","381.50","376.50","884.16K","-0.26%"
"12/21/2021","378.00","377.00","380.00","363.00","1.53M","0.27%"
"12/20/2021","377.00","375.00","385.25","370.50","1.42M","-0.53%"
"12/17/2021","379.00","374.00","385.00","367.50","1.96M","1.88%"
"12/16/2021","372.00","376.00","377.25","365.00","2.97M","-0.80%"
"12/15/2021","375.00","385.00","385.00","360.00","4.10M","-0.13%"
"12/14/2021","375.50","352.00","382.00","352.00","4.96M","7.13%"
"12/13/2021","350.50","340.25","356.50","340.25","4.55M","3.70%"
"12/10/2021","338.00","316.00","340.00","316.00","3.85M","7.56%"
"12/09/2021","314.25","308.00","314.75","303.25","2.45M","3.29%"
"12/08/2021","304.25","300.25","308.00","300.25","3.56M","1.50%"
"12/07/2021","299.75","300.00","306.00","298.00","2.77M","0.76%"
"12/06/2021","297.50","285.00","297.75","280.25","3.38M","6.25%"
"12/03/2021","280.00","280.00","285.00","273.00","3.62M","-0.88%"
"12/02/2021","282.50","282.00","289.00","272.00","2.92M","-0.09%"
"12/01/2021","282.75","287.00","296.00","279.00","5.79M","-0.09%"
"11/30/2021","283.00","266.00","284.50","266.00","6.28M","7.30%"
"11/29/2021","263.75","253.75","264.75","248.00","7.23M","6.57%"
"11/26/2021","247.50","240.00","250.00","239.75","4.65M","5.77%"
"11/25/2021","234.00","228.00","238.00","226.50","2.62M","2.74%"
"11/24/2021","227.75","232.00","232.00","225.00","2.47M","-1.19%"
"11/23/2021","230.50","236.00","237.00","228.25","2.22M","-1.07%"
"11/22/2021","233.00","231.00","240.00","230.00","2.75M","0.87%"
"11/19/2021","231.00","234.75","240.00","225.00","6.61M","1.32%"
"11/17/2021","228.00","218.00","230.00","215.50","6.97M","6.17%"
"11/16/2021","214.75","205.00","218.00","204.00","5.71M","5.66%"
"11/15/2021","203.25","194.50","205.00","192.50","2.13M","3.17%"
"11/12/2021","197.00","197.25","200.00","194.00","3.99M","-0.25%"
"11/11/2021","197.50","200.25","200.25","196.50","1.54M","-1.50%"
"11/10/2021","200.50","200.00","206.00","196.75","862.71K","0.50%"
"11/09/2021","199.50","209.00","209.00","199.00","2.67M","-3.86%"
"11/08/2021","207.50","199.00","208.75","193.00","4.96M","4.27%"
"11/05/2021","199.00","203.00","204.75","197.25","4.94M","-1.97%"
"11/03/2021","203.00","210.00","210.00","202.50","5.01M","-3.10%"
"11/02/2021","209.50","210.50","211.00","204.75","5.10M","-0.48%"
"11/01/2021","210.50","218.00","220.75","208.25","4.41M","-3.00%"
"10/29/2021","217.00","220.00","222.00","210.75","5.27M","-0.57%"
"10/28/2021","218.25","220.00","220.00","214.50","4.07M","-0.34%"
"10/27/2021","219.00","223.00","224.00","217.50","4.98M","-1.57%"
"10/26/2021","222.50","227.00","229.50","220.25","3.61M","-1.33%"
"10/25/2021","225.50","217.00","227.00","217.00","10.60M","8.15%"
"10/22/2021","208.50","203.00","209.75","203.00","3.93M","3.09%"
"10/21/2021","202.25","200.00","202.75","198.25","2.92M","2.15%"
"10/18/2021","198.00","197.00","199.75","196.25","1.95M","1.28%"
"10/15/2021","195.50","194.50","198.50","194.50","1.61M","0.64%"
"10/14/2021","194.25","190.50","194.50","189.75","1.89M","3.05%"
"10/13/2021","188.50","190.00","191.00","187.00","2.12M","-1.69%"
"10/12/2021","191.75","192.25","194.50","189.25","1.56M","0.52%"
"10/11/2021","190.75","191.50","193.00","189.75","1.60M","-1.17%"
"10/08/2021","193.00","193.00","194.75","189.25","942.66K","0.52%"
"10/07/2021","192.00","190.00","193.50","185.75","3.18M","0.66%"
"10/06/2021","190.75","189.00","193.75","186.50","2.33M","0.93%"
"10/05/2021","189.00","195.25","196.00","185.25","6.73M","-3.45%"
"10/04/2021","195.75","196.00","197.00","192.25","2.93M","-0.25%"
"10/01/2021","196.25","200.00","204.00","195.00","4.70M","-1.01%"
"09/30/2021","198.25","195.00","201.25","191.75","9.89M","2.72%"
"09/29/2021","193.00","198.00","198.00","191.25","6.09M","-1.28%"
"09/28/2021","195.50","195.00","199.00","191.50","11.30M","2.09%"
"09/27/2021","191.50","180.00","191.50","179.00","13.54M","8.04%"
"09/24/2021","177.25","172.75","177.50","171.50","5.06M","3.50%"
"09/23/2021","171.25","169.00","174.25","168.25","4.49M","2.39%"
"09/22/2021","167.25","163.50","169.00","160.00","2.47M","2.76%"
"09/21/2021","162.75","166.00","166.00","162.00","1.80M","-1.36%"
"09/17/2021","165.00","164.75","167.50","159.75","7.40M","-0.30%"
"09/16/2021","165.50","174.25","175.00","163.75","7.83M","-3.22%"
"09/15/2021","171.00","157.50","172.50","157.00","13.13M","11.04%"
"09/14/2021","154.00","144.00","158.75","144.00","10.32M","6.57%"
"09/13/2021","144.50","165.00","165.00","141.00","20.06M","-13.99%"
"09/10/2021","168.00","184.75","185.00","167.00","18.49M","-3.72%"
"09/09/2021","174.50","175.00","176.75","167.25","9.21M","1.45%"
"09/08/2021","172.00","180.50","185.00","164.00","21.13M","-5.62%"
"09/07/2021","182.25","181.50","190.00","178.00","14.91M","0.41%"
"09/06/2021","181.50","185.00","187.50","179.00","12.57M","-2.55%"
"09/03/2021","186.25","187.50","192.75","183.50","9.26M","1.22%"
"09/02/2021","184.00","184.00","191.00","176.00","13.18M","1.66%"
"09/01/2021","181.00","175.00","189.50","173.00","26.00M","9.70%"
"08/31/2021","165.00","145.00","169.50","142.00","31.11M","16.20%"
"08/30/2021","142.00","150.00","150.25","130.25","12.64M","-4.70%"
"08/27/2021","149.00","156.25","164.75","147.00","32.86M","-1.16%"
"08/26/2021","150.75","126.25","151.00","126.25","27.26M","21.57%"
"08/25/2021","124.00","119.00","126.50","117.50","11.94M","3.55%"
"08/24/2021","119.75","125.00","126.75","118.00","13.04M","-1.24%"
"08/23/2021","121.25","102.50","128.00","102.50","34.31M","21.25%"
"08/20/2021","100.00","94.50","102.00","93.10","16.44M","5.26%"
"08/19/2021","95.00","100.00","100.00","94.50","18.34M","-4.62%"
"08/18/2021","99.60","88.20","99.80","88.20","28.04M","15.14%"
"08/17/2021","86.50","80.00","86.50","80.00","10.35M","9.08%"
"08/16/2021","79.30","79.00","81.00","78.00","1.51M","0.38%"
"08/13/2021","79.00","79.70","80.60","78.60","3.47M","-2.11%"
"08/12/2021","80.70","82.80","82.80","78.50","10.47M","-2.30%"
"08/11/2021","82.60","83.60","84.20","82.10","4.39M","0.24%"
"08/10/2021","82.40","83.10","86.50","81.70","17.30M","0.37%"
"08/09/2021","82.10","75.90","82.30","74.90","18.68M","8.31%"
"08/06/2021","75.80","72.10","76.60","71.40","9.45M","3.84%"
"08/05/2021","73.00","76.90","76.90","72.90","17.32M","-5.07%"
"08/04/2021","76.90","81.00","81.50","76.90","18.27M","-3.51%"
"08/03/2021","79.70","75.00","80.00","75.00","24.31M","7.99%"
"08/02/2021","73.80","67.30","74.40","67.20","19.05M","9.82%"
"07/30/2021","67.20","68.50","69.00","66.10","11.78M","0.75%"
"07/29/2021","66.70","67.10","67.30","66.20","4.41M","-0.45%"
"07/28/2021","67.00","66.00","67.00","65.80","5.06M","1.52%"
"07/27/2021","66.00","67.10","67.30","64.90","10.41M","-1.64%"
"07/26/2021","67.10","68.00","68.90","66.20","12.67M","0.30%"
"07/22/2021","66.90","66.00","67.50","65.30","16.72M","3.72%"
"07/20/2021","64.50","64.00","65.80","61.80","18.33M","2.38%"
"07/19/2021","63.00","59.00","63.50","57.50","41.48M","15.17%"
"07/16/2021","54.70","52.90","54.90","52.80","8.37M","3.80%"
"07/15/2021","52.70","53.20","53.30","52.60","2.14M","-0.57%"
"07/14/2021","53.00","52.80","53.00","52.10","3.53M","0.57%"
"07/13/2021","52.70","52.60","53.50","52.40","5.82M","0.57%"
"07/12/2021","52.40","51.50","52.80","51.50","6.87M","2.75%"
"07/09/2021","51.00","49.90","51.10","49.90","5.44M","2.20%"
"07/08/2021","49.90","49.10","49.90","49.10","741.95K","1.42%"
"07/07/2021","49.20","48.50","49.40","48.50","866.68K","1.23%"
"07/06/2021","48.60","49.10","49.10","48.50","770.59K","-0.82%"
"07/05/2021","49.00","49.50","49.50","49.00","649.63K","-0.81%"
"07/02/2021","49.40","49.20","49.60","48.60","1.07M","0.41%"
"07/01/2021","49.20","50.00","50.00","49.00","1.87M","-1.80%"
"06/30/2021","50.10","49.80","50.30","48.60","2.75M","0.60%"
"06/29/2021","49.80","50.30","50.30","49.00","1.48M","-1.19%"
"06/28/2021","50.40","51.00","51.00","50.20","1.38M","-0.98%"
"06/25/2021","50.90","50.30","50.90","50.20","812.95K","1.39%"
"06/23/2021","50.20","49.80","50.30","48.70","2.81M","0.80%"
"06/22/2021","49.80","51.70","51.70","49.50","4.90M","-1.58%"
"06/21/2021","50.60","51.70","51.80","50.50","2.08M","-1.75%"
"06/18/2021","51.50","52.40","52.80","51.30","4.19M","-1.53%"
"06/17/2021","52.30","51.00","52.40","51.00","12.91M","3.16%"
"06/16/2021","50.70","48.30","50.70","48.20","13.87M","5.41%"
"06/15/2021","48.10","47.20","48.30","47.10","4.11M","1.26%"
"06/14/2021","47.50","47.60","47.90","46.90","449.62K","0.00%"
"06/11/2021","47.50","48.00","48.00","47.00","706.60K","-1.25%"
"06/10/2021","48.10","47.50","48.60","47.50","1.63M","1.26%"
"06/09/2021","47.50","47.50","48.00","47.40","790.68K","-0.21%"
"06/08/2021","47.60","48.40","48.50","47.10","1.89M","-1.04%"
"06/07/2021","48.10","48.00","48.60","47.40","3.54M","1.91%"
"06/04/2021","47.20","46.50","47.50","46.50","4.96M","2.61%"
"06/03/2021","46.00","45.10","46.30","44.90","2.10M","2.00%"
"06/02/2021","45.10","45.50","45.90","44.80","806.64K","-0.22%"
"06/01/2021","45.20","45.90","46.50","44.90","1.40M","-1.53%"
"05/31/2021","45.90","46.80","47.00","45.10","1.64M","-1.50%"
"05/28/2021","46.60","46.00","46.80","45.40","1.69M","1.75%"
"05/25/2021","45.80","45.00","46.10","44.80","1.60M","2.92%"
"05/24/2021","44.50","44.50","44.80","43.80","1.59M","-0.67%"
"05/21/2021","44.80","46.20","46.20","43.90","2.32M","-2.18%"
"05/20/2021","45.80","46.80","46.90","45.10","515.91K","-2.55%"
"05/19/2021","47.00","47.00","47.40","46.00","4.15M","0.00%"
"05/18/2021","47.00","47.30","47.70","46.50","4.53M","0.00%"
"05/17/2021","47.00","44.70","47.20","44.70","5.32M","5.38%"
"05/13/2021","44.60","44.00","44.80","44.00","792.79K","1.13%"
"05/12/2021","44.10","44.50","45.20","44.10","1.96M","-0.23%"
"05/11/2021","44.20","44.20","45.00","44.10","911.53K","-0.67%"
"05/10/2021","44.50","45.40","45.50","44.10","1.67M","-1.98%"
"05/07/2021","45.40","45.50","46.00","45.20","1.17M","-0.22%"
"05/06/2021","45.50","45.50","46.40","45.00","1.73M","-0.22%"
"05/05/2021","45.60","44.30","45.80","44.10","1.19M","2.47%"
"05/04/2021","44.50","45.00","45.90","44.00","1.65M","-0.67%"
"05/03/2021","44.80","46.90","47.50","44.80","3.71M","-3.45%"
"04/30/2021","46.40","46.00","47.60","45.50","4.40M","-2.32%"
"04/29/2021","47.50","47.80","48.70","46.00","5.03M","-0.63%"
"04/28/2021","47.80","43.10","48.10","43.10","3.13M","8.14%"
"04/27/2021","44.20","45.50","45.50","43.80","3.33M","-3.91%"
"04/23/2021","46.00","47.00","47.40","45.60","2.84M","-3.36%"
"04/22/2021","47.60","49.50","49.50","47.40","1.96M","-3.84%"
"04/21/2021","49.50","47.00","50.00","47.00","3.12M","4.87%"
"04/20/2021","47.20","51.30","51.30","47.00","9.77M","-7.99%"
"04/19/2021","51.30","52.30","52.80","50.90","2.52M","-1.35%"
"04/16/2021","52.00","52.70","52.80","50.00","5.77M","-1.33%"
"04/15/2021","52.70","52.80","53.60","52.40","4.45M","0.57%"
"04/12/2021","52.40","49.70","52.50","49.50","7.20M","5.86%"
"04/09/2021","49.50","49.20","50.50","49.00","4.88M","1.43%"
"04/08/2021","48.80","47.70","49.60","47.00","7.38M","2.74%"
"04/07/2021","47.50","48.00","49.00","47.00","4.54M","-0.42%"
"04/06/2021","47.70","46.00","47.90","45.60","4.30M","3.70%"
"04/05/2021","46.00","46.00","47.10","45.50","2.95M","0.00%"
"04/01/2021","46.00","45.10","46.30","44.70","2.70M","2.45%"
"03/31/2021","44.90","44.90","45.10","44.00","1.02M","0.45%"
"03/30/2021","44.70","45.80","45.80","44.60","895.93K","-2.40%"
"03/29/2021","45.80","45.00","46.00","44.20","2.91M","2.69%"
"03/26/2021","44.60","45.00","45.40","43.10","831.18K","2.06%"
"03/25/2021","43.70","47.00","47.00","43.60","2.89M","-5.00%"
"03/24/2021","46.00","42.60","46.30","42.10","4.49M","5.26%"
"03/23/2021","43.70","43.20","44.00","42.00","970.46K","1.16%"
"03/22/2021","43.20","42.50","43.60","42.00","1.57M","2.61%"
"03/19/2021","42.10","42.10","43.30","40.90","3.57M","-0.94%"
"03/18/2021","42.50","45.00","45.00","42.00","2.63M","-4.49%"
"03/17/2021","44.50","46.30","46.30","44.40","3.39M","-3.05%"
"03/16/2021","45.90","46.50","46.80","44.50","3.58M","-1.29%"
"03/15/2021","46.50","48.00","48.50","46.30","1.59M","-2.52%"
"03/12/2021","47.70","47.50","48.50","46.30","3.13M","2.80%"
"03/10/2021","46.40","46.80","47.50","45.50","1.05M","0.00%"
"03/09/2021","46.40","49.50","49.90","46.10","7.04M","-5.11%"
"03/08/2021","48.90","45.10","49.00","44.50","8.46M","9.40%"
"03/05/2021","44.70","44.30","45.00","41.00","4.28M","3.95%"
"03/04/2021","43.00","45.50","46.70","42.80","6.56M","-5.29%"
"03/03/2021","45.40","46.00","46.40","42.80","4.45M","-0.22%"
"03/02/2021","45.50","47.30","47.50","45.30","3.13M","-3.60%"
"03/01/2021","47.20","48.00","48.60","46.50","6.74M","0.00%"
"02/25/2021","47.20","41.70","47.90","41.00","9.99M","13.46%"
"02/24/2021","41.60","41.00","43.00","39.90","7.82M","4.00%"
"02/23/2021","40.00","44.10","44.50","39.90","8.81M","-9.30%"
"02/22/2021","44.10","45.00","47.00","44.00","4.89M","-6.17%"
"02/19/2021","47.00","48.50","48.90","46.80","1.28M","-1.88%"
"02/18/2021","47.90","49.00","49.50","47.00","2.96M","-0.21%"
"02/17/2021","48.00","46.00","48.00","42.50","4.05M","2.56%"
"02/16/2021","46.80","50.00","50.00","45.00","6.52M","-5.45%"
"02/15/2021","49.50","52.90","53.00","49.00","8.01M","-4.81%"
"02/12/2021","52.00","50.00","52.30","49.00","9.85M","9.70%"
"02/11/2021","47.40","48.80","50.00","38.40","12.52M","-4.63%"
"02/10/2021","49.70","51.70","52.50","48.60","6.75M","-3.12%"
"02/09/2021","51.30","53.50","53.50","50.50","7.36M","-3.39%"
"02/08/2021","53.10","55.10","56.40","52.20","8.12M","-2.21%"
"02/05/2021","54.30","52.00","54.50","51.10","15.34M","8.60%"
"02/03/2021","50.00","49.00","51.50","46.00","11.64M","3.31%"
"02/02/2021","48.40","51.30","53.00","43.00","9.92M","-6.02%"
"02/01/2021","51.50","53.00","54.60","50.90","9.89M","0.98%"
"01/29/2021","51.00","56.50","57.10","42.00","18.78M","-9.41%"
"01/27/2021","56.30","60.90","60.90","54.50","30.47M","-7.70%"
"01/26/2021","61.00","64.00","64.60","60.10","21.22M","-1.61%"
"01/25/2021","62.00","57.50","62.80","57.50","29.89M","12.52%"
"01/22/2021","55.10","51.80","56.40","51.40","18.55M","6.78%"
"01/21/2021","51.60","51.00","51.90","49.00","7.20M","0.39%"
"01/20/2021","51.40","50.00","53.00","50.00","12.98M","2.80%"
"01/19/2021","50.00","54.00","54.50","48.90","19.35M","-6.37%"
"01/18/2021","53.40","55.10","58.90","52.80","28.14M","0.00%"
"01/15/2021","53.40","48.00","54.00","48.00","35.66M","14.35%"
"01/13/2021","46.70","44.00","48.00","44.00","31.23M","9.37%"
"01/12/2021","42.70","39.90","42.90","38.90","26.36M","9.49%"
"01/11/2021","39.00","35.30","39.90","35.30","36.16M","14.04%"
"01/08/2021","34.20","32.10","34.90","31.50","27.54M","8.23%"
"01/07/2021","31.60","31.40","31.60","30.40","12.61M","0.96%"
"01/06/2021","31.30","32.00","32.40","31.10","11.90M","-2.19%"
"01/05/2021","32.00","31.90","32.60","31.80","19.75M","1.91%"
"01/04/2021","31.40","29.30","31.50","29.20","19.07M","8.65%"
"12/31/2020","28.90","28.70","29.30","28.70","8.93M","1.05%"
"12/30/2020","28.60","27.70","28.60","27.70","12.48M","4.76%"
"12/28/2020","27.30","27.30","27.40","27.00","2.99M","0.00%"
"12/24/2020","27.30","27.20","27.40","27.00","1.45M","0.74%"
"12/23/2020","27.10","27.40","27.50","26.90","3.53M","-1.09%"
"12/22/2020","27.40","27.60","28.00","27.00","13.35M","0.74%"
"12/21/2020","27.20","25.90","27.30","25.90","20.54M","5.84%"
"12/18/2020","25.70","25.00","25.80","25.00","3.15M","2.80%"
"12/17/2020","25.00","25.20","25.50","24.90","4.73M","-0.40%"
"12/16/2020","25.10","25.30","25.50","25.00","6.11M","-1.18%"
"12/15/2020","25.40","25.60","25.70","25.10","2.08M","-0.78%"
"12/14/2020","25.60","26.00","26.00","25.40","2.83M","-0.78%"
"12/11/2020","25.80","26.50","26.50","25.00","1.83M","-0.77%"
"12/10/2020","26.00","25.00","26.50","25.00","8.64M","4.00%"
"12/09/2020","25.00","25.50","25.70","24.90","6.98M","-1.96%"
"12/08/2020","25.50","25.00","26.00","24.80","5.66M","1.59%"
"12/07/2020","25.10","26.00","26.00","24.90","7.91M","-3.09%"
"12/04/2020","25.90","26.20","26.30","25.50","5.33M","-1.52%"
"12/03/2020","26.30","26.50","26.50","26.10","5.22M","0.00%"
"12/02/2020","26.30","26.90","27.00","26.20","6.65M","-2.23%"
"12/01/2020","26.90","27.30","27.60","26.70","5.03M","-1.10%"
"11/30/2020","27.20","27.00","27.60","26.50","12.10M","2.26%"
"11/27/2020","26.60","25.00","26.70","24.50","15.47M","4.72%"
"11/26/2020","25.40","25.50","25.60","24.90","6.93M","0.40%"
"11/25/2020","25.30","25.60","25.70","24.80","6.63M","-1.17%"
"11/24/2020","25.60","26.40","26.50","25.40","6.57M","-3.40%"
"11/23/2020","26.50","26.50","26.80","26.40","4.08M","0.38%"
"11/20/2020","26.40","26.30","26.70","25.90","5.85M","1.15%"
"11/19/2020","26.10","27.00","27.00","26.00","11.81M","-3.69%"
"11/18/2020","27.10","27.90","28.30","26.30","20.21M","-1.45%"
"11/17/2020","27.50","26.50","27.70","26.10","17.67M","4.17%"
"11/16/2020","26.40","25.90","26.40","25.30","6.18M","3.12%"
"11/13/2020","25.60","25.80","26.10","25.00","8.35M","0.39%"
"11/12/2020","25.50","25.50","26.30","24.80","11.05M","-0.39%"
"11/11/2020","25.60","25.30","26.40","23.80","25.44M","0.00%"
